author,message,timestamp
@Trancuonglkabc,sp xúng đáng trừ 90 uytin,1:20:43
@quanphan4929,lavi pick đầu cha,1:20:47
@SonNguyen_098,ô chx thua à,1:21:16
@quanphan4929,mà lavi ko xuyên giáp à,1:21:21
@sinnjaafee9752,ad giờ còn kiếm điện,1:21:39
@quanphan4929,pha này hay:)),1:22:04
@tiếnVũ-t6i,vcl ảo,1:22:04
@quanphan4929,mà voi nó giải r,1:22:14
@NamTranThien-jy4eh,siuu,1:22:14
@ducanh88f1,hay,1:22:31
@quanphan4929,vc ad ko xuyên giáp thật,1:22:33
@ngovanthieu6856,5vs 3 ăn được,1:22:34
@FWLikenew,Có tí tác dụng r =))),1:22:59
@annastasianguyen1488,=))))),1:23:28
@sinnjaafee9752,bán kiếm điện lên kiếm xanh là mạnh,1:23:29
@Hieu-HighLigh0,hụt =),1:23:30
@kang2095,cũng cũng,1:23:32
@quanphan4929,ủa mà team b mỗi kerra mà lên nhiều kháng phép thế anh:))),1:23:32
@vdhuyy_06-u5l,mắt tôi,1:23:33
@Hieu-HighLigh0,hụt x2 =),1:23:40
@quannguyen1874,???????,1:23:41
@congminhngo7952,kéo chán,1:23:56
@annastasianguyen1488,=))),1:24:42
@quanphan4929,đau mắt thế:)),1:24:57
@Hieu-HighLigh0,bày đặc bán bán ,1:25:22
@ngovanthieu6856, bú win mạnh nhất lịch sử :))),1:25:23
@Juliet·Capulet2507,bu win thanh cong :)),1:25:24
@quanphan4929,:))),1:25:30
@FWLikenew,Team gánh =))),1:25:32
@uctranphuc624,quan trọng là team hay,1:25:32
@Trancuonglkabc,"e mà làm bên gà e xóa acc a luôn""))",1:25:33
@phucphan310,thuần team gánh:)),1:25:34
@sinnjaafee9752,win nói ji cũng đúng,1:25:35
@congminhngo7952,buwin quá ác,1:25:37
@kang2095,bú win :)),1:25:37
@sontruong2607,ad hay,1:25:38
@ducanh88f1,ảo lòi,1:25:43
@Juliet·Capulet2507,qtrong la gap team hay,1:25:43
@Vinhbadboy,quan trọng team có nguu hay ko,1:25:46
@anluu6094,:)),1:25:49
@NamTranThien-jy4eh,?:)),1:25:50
@quannguyen1874,thoi ông im mọe mồm đê :))))),1:25:50
@huudungnguyen9910,:),1:25:52
@annastasianguyen1488,chứng minh bú win là đc =)),1:25:52
@anluu6094,mõm ,1:25:53
@quangtrai2507,thôi thôi,1:25:54
@Hieu-HighLigh0,tư duy bú win =),1:25:57
@tuine7888,=)))))),1:26:12
@quannguyen1874,mõm chúa :)))))),1:26:13
@Trancuonglkabc,"e mà làm bên gà e xóa acc a luôn""))",1:26:16
@quangtrai2507,chiến thuật bú win,1:26:17
@SakaiYukata,a này có gay khong moi nguoi,1:26:19
@FWLikenew,Làm tí Flooo,1:26:21
@uctranphuc624,thuần chém gió,1:26:29
@dailyyy09,Thuần hay,1:26:30
@kang2095,thuần bốc phét :)),1:26:41
@vyye1812,học cách bú uiwn,1:26:42
@annastasianguyen1488,=)) win cái triết lí liền,1:26:51
@Hieu-HighLigh0,trái dứng đá lô tô mà kêu đánh chill chill ,1:27:00
@congminhngo7952,rùa,1:27:14
@ngovanthieu6856,làm tí fnoo,1:27:17
@vyye1812,airi đê,1:27:21
@FWLikenew,Làm tí Flo,1:27:21
@NamTranThien-jy4eh,flo luôn,1:27:22
@Hieu-HighLigh0,aya đi top,1:27:28
@annastasianguyen1488,làm tí flo chứng minh macro hơn win đi nèo,1:27:51
@congminhngo7952,yena trận trc kìa,1:27:55
@阿俊-o1r,:)),1:27:58
@quochuy6462,edras,1:28:04
@LoThaiSonA,anh nghĩ sao về tình yêu đồng giới:)),1:28:05
@annastasianguyen1488,airi buff mạnh ak a,1:28:07
@baotranthaigia3285,bản lĩnh thì zill,1:28:09
@SakaiYukata,edras,1:28:14
@nguyen1758,airi,1:28:15
@phil_kasoki,Yena,1:28:16
@haitrieu-uf4im,Miễn sướng là đc :)),1:28:17
@quangtrai2507,edras,1:28:20
@HuyHoangPham-vc6tw,airi,1:28:25
@Hieu-HighLigh0,"airi nên mua bích hải hay vệ thần nhể, cái nào cx mê =))",1:28:58
@anluu6094,cả 2,1:29:13
@ngovanthieu6856,"bích hải nha, vệ thần gần gống skin ssm",1:29:21
@quangtrai2507,ng lớn k có lựa chọn mình mua cả 2,1:29:25
@SakaiYukata,bích hải,1:29:29
@nguyen1758,Bích hải t1 đổi hh kìa,1:29:33
@annastasianguyen1488,bích hải oke hơn,1:29:37
@Hieu-HighLigh0,tài chính ko cho cả 2 =)),1:29:39
@nguyen1758,1111 hh,1:29:42
@annastasianguyen1488,sắp ra shop hh r kìa,1:29:53
@anluu6094,"thế mua bích hải , còn nak thì mod :))",1:30:16
