author,message,timestamp
@inhphucthangnguyen793,CẬU CHỦ ƠI ,40:51
@MANHĐOÀN-p4i,thằng @hoangnguyen-es2dh: là fan flash,41:13
@inhphucthangnguyen793,cậu chủ nhớ tên em hong,41:16
@hangphuong4944,có,41:33
@katxinhgai,mn xem live mà k like cho bâng=)))))),41:40
@inhphucthangnguyen793,em tên là gì,41:42
@MANHĐOÀN-p4i,em tên chó,41:51
@toiyeubongda0921,Edras ADC nhập r =)),41:53
@hangphuong4944,kiki,41:56
@hangphuong4944,th để a đổi tên khác,42:11
@inhphucthangnguyen793,dạ em tên là cậu vàng tên mới ,42:14
@VietNguyen-uo8zc,ai danh edras the mn,42:16
@hangphuong4944,ừm........,42:18
@inhphucthangnguyen793,được không,42:27
@Datle10,trời,42:27
@myhanhngo4138, =))))))))),42:29
@tuankietmo6405,=)))))),42:30
@tuankietmo6405,khéo chạy,42:39
@artl8enquanmobile,Lan,42:45
@inhphucthangnguyen793,em nói anh MANHĐOÀN em tên là cậu vàng,42:51
@Datle10,lag nữa:)),42:55
@artl8enquanmobile,khoai lang,42:56
@MANHĐOÀN-p4i,ok cậu vàng,42:57
@hangphuong4944,skibidi đi,43:02
@inhphucthangnguyen793,hôm bữa em nói rồi,43:07
@hangphuong4944,v là em ko còn là pet của a nx ak,43:43
@inhphucthangnguyen793,"cái gì skibidi à , cậu chủ muốn em biến hình thành skibidi toilet à",43:44
@hangphuong4944,,43:55
@MANHĐOÀN-p4i,hông bé ơi,44:09
@inhphucthangnguyen793,"cậu chủ , em nói này nghe nè",44:11
@tuankietmo6405,hayyyyy,44:13
@hangphuong4944,huhuhu,44:23
@Teddy-1012,,44:27
@toespic,hay vc a này có đánh chuyên k,44:31
@artl8enquanmobile,nó dịch dính tường k trúng xích r:)),44:39
@inhphucthangnguyen793,cậu chủ lấy dao chặt thịt anh MANHĐOÀN đi ạ,44:39
@dqakt5,sp hay vậy mà đi rừng,44:40
@kakafc-fy5uz,trận sao bắn esu nha bâng,44:53
@hangphuong4944,bâng có kỹ năng ''móc siêu đỉnh,44:56
@MANHĐOÀN-p4i,ê ê ê ,44:58
@DươngLê-m2j2x,fs từ ban pick đến lối chơi đều được đi kèm như nhau,45:00
@inhphucthangnguyen793,thịt ảnh ngon lắm ,45:01
@hangphuong4944,ok em,45:08
@tuankietmo6405,cover cho ảnh đi kìa team=))),45:09
@inhphucthangnguyen793,cậu chủ,45:10
@MANHĐOÀN-p4i,troll troll troll vn,45:18
@inhphucthangnguyen793,làm đi ạ,45:22
@duyphan7224,ghê,45:25
@katxinhgai,^^,45:32
@Teddy-1012,,45:35
@inhphucthangnguyen793,MANHĐOÀN mày xong gòi,45:37
@hangphuong4944,cộp cộp cộp,45:37
@duyphan7224,T nghi ADC chơi edras,45:43
@tuankietmo6405,sĩ=)))),46:05
@katxinhgai,ghê,46:11
@MANHĐOÀN-p4i,thôi xong rồi,46:12
@MANHĐOÀN-p4i,có ai hông cứu với,46:23
@hangphuong4944,cây kiếm của yorichi đâu r ấy nhỉ,46:23
@Teddy-1012,,46:34
@Mèocàhẩy,"hồi trc thì úi sời ơi, h bâng chuyển qua ghê luôn r",46:36
@ThanhLe-rq3ow,15.08.2007 là ai v,46:51
@MANHĐOÀN-p4i,,46:53
@hangphuong4944,để chặt manhdoan cho cậu vàng của t,46:54
@tuankietmo6405,chưa ngủ à Bánh,47:13
@katxinhgai,,47:25
@MANHĐOÀN-p4i, kiếm yorichi đây,47:25
@bbac2526,yesssssssssssssssssss,47:43
@nuachua1698,fs,47:43
@Teddy-1012,My  people,47:50
@nuachua1698,full sense,47:52
@bbac2526,long time no see,47:53
@MANHĐOÀN-p4i, phải cho cậu vàng ăn pháo,47:57
@anzan0211,hồi tao còn đánh giải mày đâu có vô địch được đâu=)),47:59
@hangphuong4944,bánh thành mưcj khô,48:02
@KhôiPhạm-m6d,NGHE BẢO ĐÂY LÀ MÙA CUỐI CỦA ANH HẢ ANH BÂNG=),48:03
@bbac2526,chào e đi a bánh,48:10
@inhphucthangnguyen793, anh MANHĐOÀN che em chặt đầu anh nha,48:11
@hangphuong4944,chặt đi em,48:22
@LinhLinh-m2p,khoa có hay live ko bm,48:25
@chaolaoda2,Bang I am your fan from Taiwan ,48:25
@inhphucthangnguyen793,được không,48:27
@hangphuong4944,có anh bảo kê',48:39
@MANHĐOÀN-p4i, anh có áo chông sát thương kể cả súng,48:43
@inhphucthangnguyen793,dạ chặt đây,48:46
@hungalex6700,Bang cuteo qua,48:55
@hangphuong4944,kekekeke,48:57
@tuankietmo6405,ngủ chưa Bánh,48:59
@inhphucthangnguyen793,chặt nè chặt nè ,48:59
@MANHĐOÀN-p4i, đến giờ chích rồi,49:05
@hangphuong4944,ra trc cửa nhà m đi manhdoan,49:10
